id,name,height,weight,base_experience,is_default
928,smoliv,3,65,52,True
929,dolliv,6,119,124,True
930,arboliva,14,482,255,True
931,squawkabilly-green-plumage,6,24,146,True
932,nacli,4,160,56,True
933,naclstack,6,1050,124,True
934,garganacl,23,2400,250,True
935,charcadet,6,105,51,True
936,armarouge,15,850,263,True
937,ceruledge,16,620,263,True
938,tadbulb,3,4,54,True
939,bellibolt,12,1130,173,True
940,wattrel,4,36,56,True
941,kilowattrel,14,386,172,True
942,maschiff,5,160,68,True
943,mabosstiff,11,610,177,True
944,shroodle,2,7,58,True
945,grafaiai,7,272,170,True
946,bramblin,6,6,55,True
947,brambleghast,12,60,168,True
948,toedscool,9,330,67,True
949,toedscruel,19,580,180,True
950,klawf,13,790,158,True
951,capsakid,3,30,61,True
952,scovillain,9,150,170,True
953,rellor,2,10,54,True
954,rabsca,3,35,165,True
955,flittle,2,15,51,True
956,espathra,19,900,168,True
957,tinkatink,4,89,59,True
958,tinkatuff,7,591,133,True
959,tinkaton,7,1128,253,True
960,wiglett,12,18,49,True
961,wugtrio,12,54,149,True
962,bombirdier,15,429,243,True
963,finizen,13,602,63,True
964,palafin-zero,13,602,160,True
965,varoom,10,350,60,True
966,revavroom,18,1200,175,True
967,cyclizar,16,630,175,True
968,orthworm,25,3100,240,True
969,glimmet,7,80,70,True
970,glimmora,15,450,184,True
971,greavard,6,350,58,True
972,houndstone,20,150,171,True
973,flamigo,16,370,175,True
974,cetoddle,12,450,67,True
975,cetitan,45,7000,182,True
976,veluza,25,900,167,True
977,dondozo,120,2200,265,True
978,tatsugiri-curly,3,80,166,True
979,annihilape,12,560,268,True
980,clodsire,18,2230,151,True
981,farigiraf,32,1600,260,True
982,dudunsparce-two-segment,36,392,182,True
983,kingambit,20,1200,275,True
984,great-tusk,22,3200,285,True
985,scream-tail,12,80,285,True
986,brute-bonnet,12,210,285,True
987,flutter-mane,14,40,285,True
988,slither-wing,32,920,285,True
989,sandy-shocks,23,600,285,True
990,iron-treads,9,2400,285,True
991,iron-bundle,6,110,285,True
992,iron-hands,18,3807,285,True
993,iron-jugulis,13,1110,285,True
994,iron-moth,12,360,285,True
995,iron-thorns,16,3030,285,True
996,frigibax,5,170,64,True
997,arctibax,8,300,148,True
998,baxcalibur,21,2100,300,True
999,gimmighoul,3,50,60,True
1000,gholdengo,12,300,275,True
1001,wo-chien,15,742,285,True
1002,chien-pao,19,1522,285,True
1003,ting-lu,27,6997,285,True
1004,chi-yu,4,49,285,True
1005,roaring-moon,20,3800,295,True
1006,iron-valiant,14,350,295,True
1007,koraidon,25,3030,335,True
1008,miraidon,35,2400,335,True
1009,walking-wake,35,2800,295,True
1010,iron-leaves,15,1250,295,True
1011,dipplin,4,97,170,True
1012,poltchageist,1,11,62,True
1013,sinistcha,2,22,178,True
1014,okidogi,18,922,278,True
1015,munkidori,10,122,278,True
1016,fezandipiti,14,301,278,True
1017,ogerpon,12,398,275,True
1018,archaludon,20,600,300,True
1019,hydrapple,18,930,270,True
1020,gouging-fire,35,5900,295,True
1021,raging-bolt,52,4800,295,True
1022,iron-boulder,15,1625,295,True
1023,iron-crown,16,1560,295,True
1024,terapagos,2,65,90,True
1025,pecharunt,3,3,300,True
